Index,Date,Open,High,Low,Close,Volume,Market Cap
0,"May 11, 2020",8755.54,9033.47,8374.32,8601.8,57119858802.0,158059235276.0
1,"May 10, 2020",9591.17,9595.58,8395.11,8756.43,63325279337.0,160884755211.0
2,"May 09, 2020",9840.91,9913.86,9580.64,9593.9,46566121841.0,176251395673.0
3,"May 08, 2020",9936.16,9996.74,9767.17,9842.67,51780748042.0,180804859844.0
4,"May 07, 2020",9261.9,9992.66,9138.32,9951.52,61112700562.0,182787376637.0
5,"May 06, 2020",9007.44,9411.47,8966.71,9268.76,49371886931.0,170229620935.0
6,"May 05, 2020",8912.83,9062.41,8856.83,9003.07,43148462663.0,165332488792.0
7,"May 04, 2020",8895.74,8956.91,8645.02,8912.65,45718796276.0,163654493632.0
8,"May 03, 2020",8983.61,9167.78,8830.97,8897.47,47101785174.0,163358189151.0
9,"May 02, 2020",8869.06,9007.19,8811.37,8988.6,40134388683.0,165012307600.0
10,"May 01, 2020",8672.78,9048.02,8667.76,8864.77,44068389997.0,162722652380.0
11,"Apr 30, 2020",8797.67,9440.65,8533.26,8658.55,66964629541.0,158922133909.0
12,"Apr 29, 2020",7806.71,8871.75,7786.05,8801.04,60201052203.0,161522471385.0
13,"Apr 28, 2020",7796.97,7814.53,7730.81,7807.06,33187959921.0,143266252261.0
14,"Apr 27, 2020",7679.42,7795.6,7679.42,7795.6,36162144725.0,143040988590.0
15,"Apr 26, 2020",7570.14,7700.59,7561.41,7679.87,33070154491.0,140903867573.0
16,"Apr 25, 2020",7550.48,7641.36,7521.67,7569.94,32941541447.0,138874072264.0
17,"Apr 24, 2020",7434.18,7574.2,7434.18,7550.9,34636526286.0,138512029491.0
18,"Apr 23, 2020",7121.31,7491.78,7081.59,7429.72,43500782316.0,136275638031.0
19,"Apr 22, 2020",6879.44,7145.87,6867.78,7117.21,33249153866.0,130530916077.0
20,"Apr 21, 2020",6879.78,6934.55,6834.44,6880.32,32589741511.0,126175238603.0
21,"Apr 20, 2020",7186.87,7240.29,6835.5,6881.96,37747113936.0,126192239912.0
22,"Apr 19, 2020",7260.92,7280.52,7167.05,7189.42,31311210215.0,131815853850.0
23,"Apr 18, 2020",7092.29,7269.96,7089.25,7257.66,32447188386.0,133053136876.0
24,"Apr 17, 2020",7116.55,7167.18,7050.33,7096.18,32513423567.0,130078472088.0
25,"Apr 16, 2020",6640.45,7134.45,6555.5,7116.8,46783242377.0,130445413270.0
26,"Apr 15, 2020",6845.56,6928.66,6633.4,6642.11,32288311031.0,121731940639.0
27,"Apr 14, 2020",6843.28,6958.56,6793.82,6842.43,34110434052.0,125388687977.0
28,"Apr 13, 2020",6965.62,6965.62,6668.26,6845.04,38619308647.0,125422221237.0
29,"Apr 12, 2020",6858.07,7119.95,6811.08,6971.09,35759567632.0,127716846208.0
30,"Apr 11, 2020",6867.44,6926.07,6789.92,6859.08,31222085946.0,125651623116.0
31,"Apr 10, 2020",7303.82,7303.82,6802.47,6865.49,43622840992.0,125755496117.0
32,"Apr 09, 2020",7337.97,7341.45,7179.09,7302.09,34815139178.0,133737857010.0
33,"Apr 08, 2020",7179.28,7356.22,7153.31,7334.1,37563249549.0,134309895036.0
34,"Apr 07, 2020",7273.64,7427.94,7136.71,7176.41,44243482668.0,131409299432.0
35,"Apr 06, 2020",6788.05,7271.78,6782.89,7271.78,46896904615.0,133140400948.0
36,"Apr 05, 2020",6862.54,6883.41,6715.93,6791.13,29510409856.0,124328853512.0
37,"Apr 04, 2020",6738.38,6878.95,6696.48,6867.53,33185988584.0,125712834530.0
38,"Apr 03, 2020",6797.4,7003.22,6673.34,6733.39,38976504903.0,123244051100.0
39,"Apr 02, 2020",6606.78,7088.25,6595.92,6793.62,47660646124.0,124335130640.0
40,"Apr 01, 2020",6437.32,6612.57,6202.37,6606.78,40346426266.0,120903014693.0
41,"Mar 31, 2020",6430.61,6504.52,6374.16,6438.64,32786468812.0,117814077267.0
42,"Mar 30, 2020",5925.54,6517.2,5903.23,6429.84,37101651525.0,117640143688.0
43,"Mar 29, 2020",6245.62,6250.47,5920.09,5922.04,28373690931.0,108338520156.0
44,"Mar 28, 2020",6467.25,6467.5,6117.84,6242.19,34885225901.0,114183689641.0
45,"Mar 27, 2020",6719.39,6793.84,6466.7,6469.8,34585598367.0,118336082172.0
46,"Mar 26, 2020",6675.17,6735.46,6590.96,6716.44,35319797642.0,122834375216.0
47,"Mar 25, 2020",6738.72,6892.51,6536.93,6681.06,44590107888.0,122174009143.0
48,"Mar 24, 2020",6436.64,6789.02,6411.07,6734.8,48221910672.0,123148917787.0
49,"Mar 23, 2020",5831.37,6443.93,5785.0,6416.31,46491916000.0,117314776187.0
50,"Mar 22, 2020",6185.56,6359.7,5823.71,5830.25,40099664740.0,106591196069.0
51,"Mar 21, 2020",6206.52,6378.14,5932.82,6185.07,42494390880.0,113068192795.0
52,"Mar 20, 2020",6191.65,6844.26,5865.78,6198.78,54442976103.0,113309245860.0
53,"Mar 19, 2020",5245.42,6329.74,5236.97,6191.19,51000731797.0,113162079956.0
54,"Mar 18, 2020",5227.11,5331.83,5069.34,5238.44,37878801016.0,95740715529.0
55,"Mar 17, 2020",5002.58,5371.35,4981.91,5225.63,38622642935.0,95499941183.0
56,"Mar 16, 2020",5385.23,5385.23,4575.36,5014.48,45368026430.0,91633478850.0
57,"Mar 15, 2020",5201.07,5836.65,5169.28,5392.31,33997889639.0,98530059890.0
58,"Mar 14, 2020",5573.08,5625.23,5125.07,5200.37,36154506008.0,95014981944.0
59,"Mar 13, 2020",5017.83,5838.11,4106.98,5563.71,74156772075.0,101644613038.0
60,"Mar 12, 2020",7913.62,7929.12,4860.35,4970.79,53980357243.0,90804613601.0
61,"Mar 11, 2020",7910.09,7950.81,7642.81,7911.43,38682762605.0,144508402671.0
62,"Mar 10, 2020",7922.15,8136.95,7814.76,7909.73,42213940994.0,144465567734.0
63,"Mar 09, 2020",8111.15,8177.79,7690.1,7923.64,46936995808.0,144706353758.0
64,"Mar 08, 2020",8908.21,8914.34,8105.25,8108.12,39973102121.0,148060284561.0
65,"Mar 07, 2020",9121.6,9163.22,8890.74,8909.95,36216930370.0,162684945903.0
66,"Mar 06, 2020",9078.31,9167.7,9032.08,9122.55,40826885651.0,166548261960.0
67,"Mar 05, 2020",8760.29,9142.05,8757.25,9078.76,39698054597.0,165731679918.0
68,"Mar 04, 2020",8788.54,8843.37,8712.43,8755.25,34746706368.0,159807857328.0
69,"Mar 03, 2020",8865.39,8901.6,8704.99,8787.79,42386715821.0,160383579416.0
70,"Mar 02, 2020",8563.26,8921.31,8532.63,8869.67,42857674409.0,161861167745.0
71,"Mar 01, 2020",8599.76,8726.8,8471.21,8562.45,35349164300.0,156238987740.0
72,"Feb 29, 2020",8671.21,8775.63,8599.51,8599.51,35792392544.0,156895988084.0
73,"Feb 28, 2020",8788.73,8890.46,8492.93,8672.46,44605450443.0,158211707019.0
74,"Feb 27, 2020",8825.09,8932.89,8577.2,8784.49,45470195695.0,160238496932.0
75,"Feb 26, 2020",9338.29,9354.78,8704.43,8820.52,50420050762.0,160879489024.0
76,"Feb 25, 2020",9651.31,9652.74,9305.02,9341.71,42515259129.0,170369581558.0
77,"Feb 24, 2020",9921.58,9951.75,9537.04,9650.17,45080496648.0,175977808526.0
78,"Feb 23, 2020",9663.32,9937.4,9657.79,9924.52,41185185761.0,180963233540.0
79,"Feb 22, 2020",9687.71,9698.23,9600.73,9663.18,35838025154.0,176180696548.0
80,"Feb 21, 2020",9611.78,9723.01,9589.74,9686.44,40930547513.0,176587087363.0
81,"Feb 20, 2020",9629.33,9643.22,9507.9,9608.48,44925260237.0,175147142158.0
82,"Feb 19, 2020",10143.8,10191.68,9611.22,9633.39,46992019710.0,175585931679.0
83,"Feb 18, 2020",9691.23,10161.94,9632.38,10142.0,47271023953.0,184838512656.0
84,"Feb 17, 2020",9936.56,9938.82,9507.64,9690.14,45998298413.0,176585280987.0
85,"Feb 16, 2020",9889.18,10053.97,9722.39,9934.43,43374780305.0,181017665264.0
86,"Feb 15, 2020",10313.86,10341.56,9874.43,9889.42,43865054831.0,180179996219.0
87,"Feb 14, 2020",10211.55,10322.0,10125.53,10312.12,43338264162.0,187862645449.0
88,"Feb 13, 2020",10323.96,10457.63,10116.16,10214.38,49356071373.0,186065003526.0
89,"Feb 12, 2020",10202.39,10393.61,10202.39,10326.05,43444303830.0,188081204386.0
90,"Feb 11, 2020",9855.89,10210.05,9729.33,10208.24,37648059389.0,185917114989.0
91,"Feb 10, 2020",10115.56,10165.77,9784.56,9856.61,39386548075.0,179494809266.0
92,"Feb 09, 2020",9863.89,10129.44,9850.39,10116.67,35807884663.0,184214765394.0
93,"Feb 08, 2020",9793.07,9876.75,9678.91,9865.12,35172043762.0,179615828322.0
94,"Feb 07, 2020",9726.0,9834.72,9726.0,9795.94,34522718159.0,178339437206.0
95,"Feb 06, 2020",9617.82,9824.62,9539.82,9729.8,37628823716.0,177118274394.0
96,"Feb 05, 2020",9183.42,9701.3,9163.7,9613.42,35222060874.0,174983423933.0
97,"Feb 04, 2020",9292.84,9331.27,9112.81,9180.96,29893183716.0,167093636162.0
98,"Feb 03, 2020",9344.68,9540.37,9248.63,9293.52,30934096509.0,169126861034.0
99,"Feb 02, 2020",9389.82,9468.8,9217.82,9344.37,30835736946.0,170034976662.0
100,"Feb 01, 2020",9346.36,9439.32,9313.24,9392.88,25922656496.0,170900662180.0
101,"Jan 31, 2020",9508.31,9521.71,9230.78,9350.53,29432489719.0,170112778161.0
102,"Jan 30, 2020",9316.02,9553.13,9230.9,9508.99,32378792851.0,172978577931.0
103,"Jan 29, 2020",9357.47,9406.43,9269.47,9316.63,30682598115.0,169460984603.0
104,"Jan 28, 2020",8912.52,9358.59,8908.45,9358.59,34398744403.0,170205617955.0
105,"Jan 27, 2020",8597.31,8977.73,8597.31,8909.82,28647338393.0,162027957435.0
106,"Jan 26, 2020",8364.41,8602.4,8325.5,8596.83,22177678796.0,156322174637.0
107,"Jan 25, 2020",8440.12,8458.45,8296.22,8367.85,19647331549.0,152143262650.0
108,"Jan 24, 2020",8405.57,8514.67,8266.84,8445.43,24397913026.0,153536829768.0
109,"Jan 23, 2020",8680.65,8687.75,8333.64,8406.52,25770680779.0,152813329633.0
110,"Jan 22, 2020",8744.21,8792.99,8636.75,8680.88,22600204051.0,157783273070.0
111,"Jan 21, 2020",8658.99,8755.71,8544.52,8745.89,24097418512.0,158947996834.0
112,"Jan 20, 2020",8704.63,8745.59,8560.47,8657.64,26422375678.0,157327553259.0
113,"Jan 19, 2020",8941.45,9164.36,8620.08,8706.25,34217320471.0,158194319735.0
114,"Jan 18, 2020",8927.21,9012.2,8827.33,8942.81,32337772627.0,162475965880.0
115,"Jan 17, 2020",8725.21,8958.12,8677.32,8929.04,36372139320.0,162211148778.0
116,"Jan 16, 2020",8812.48,8846.46,8612.1,8723.79,31313981931.0,158465055984.0
117,"Jan 15, 2020",8825.34,8890.12,8657.19,8807.01,40102834650.0,159959191212.0
118,"Jan 14, 2020",8140.93,8879.51,8140.93,8827.76,44841784107.0,160319484883.0
119,"Jan 13, 2020",8189.77,8197.79,8079.7,8144.19,22482910688.0,147890525973.0
120,"Jan 12, 2020",8033.26,8200.06,8009.06,8192.49,22903438381.0,148752956966.0
121,"Jan 11, 2020",8162.19,8218.36,8029.64,8037.54,25521165085.0,145924199942.0
122,"Jan 10, 2020",7878.31,8166.55,7726.77,8166.55,28714583844.0,148249907277.0
123,"Jan 09, 2020",8082.3,8082.3,7842.4,7879.07,24045990466.0,143016572819.0
124,"Jan 08, 2020",8161.94,8396.74,7956.77,8079.86,31672559265.0,146645162431.0
125,"Jan 07, 2020",7768.68,8178.22,7768.23,8163.69,28767291327.0,148152237654.0
126,"Jan 06, 2020",7410.45,7781.87,7409.29,7769.22,23276261598.0,140976457304.0
127,"Jan 05, 2020",7410.45,7544.5,7400.54,7411.32,19725074095.0,134469548249.0
128,"Jan 04, 2020",7345.38,7427.39,7309.51,7410.66,18444271275.0,134442464030.0
129,"Jan 03, 2020",6984.43,7413.72,6915.0,7344.88,28111481032.0,133233444755.0
130,"Jan 02, 2020",7202.55,7212.16,6935.27,6985.47,20802083465.0,126699395235.0
131,"Jan 01, 2020",7194.89,7254.33,7174.94,7200.17,18565664997.0,130580829150.0
132,"Dec 31, 2019",7294.44,7335.29,7169.78,7193.6,21167946112.0,130446112598.0
133,"Dec 30, 2019",7420.27,7454.82,7276.31,7293.0,22874131672.0,132235128152.0
134,"Dec 29, 2019",7317.65,7513.95,7279.87,7422.65,22445257702.0,134570835775.0
135,"Dec 28, 2019",7289.03,7399.04,7286.91,7317.99,21365673026.0,132659059740.0
136,"Dec 27, 2019",7238.14,7363.53,7189.93,7290.09,22777360996.0,132139502950.0
137,"Dec 26, 2019",7274.8,7388.3,7200.39,7238.97,22787010034.0,131200030100.0
138,"Dec 25, 2019",7325.76,7357.02,7220.99,7275.16,21559505149.0,131840641292.0
139,"Dec 24, 2019",7354.39,7535.72,7269.53,7322.53,22991622105.0,132687583295.0
140,"Dec 23, 2019",7508.9,7656.18,7326.19,7355.63,27831788041.0,133275709111.0
141,"Dec 22, 2019",7191.19,7518.03,7167.18,7511.59,23134537956.0,136088022049.0
142,"Dec 21, 2019",7220.59,7223.23,7112.74,7191.16,19312552168.0,130267655889.0
143,"Dec 20, 2019",7208.64,7257.92,7086.12,7218.82,22633815180.0,130752796980.0
144,"Dec 19, 2019",7277.59,7346.6,7041.38,7202.84,25904604416.0,130445758713.0
145,"Dec 18, 2019",6647.7,7324.98,6540.05,7276.8,31836522778.0,131754969804.0
146,"Dec 17, 2019",6931.32,6964.07,6587.97,6640.52,22363804217.0,120234244809.0
147,"Dec 16, 2019",7153.66,7171.17,6903.68,6932.48,20213265950.0,125515586952.0
148,"Dec 15, 2019",7124.24,7181.08,6924.38,7152.3,16881129804.0,129481424648.0
149,"Dec 14, 2019",7268.9,7308.84,7097.21,7124.67,17137029730.0,128970221233.0
150,"Dec 13, 2019",7244.66,7293.56,7227.12,7269.68,17125736940.0,131581377758.0
151,"Dec 12, 2019",7216.74,7266.64,7164.74,7243.13,18927080224.0,131087151088.0
152,"Dec 11, 2019",7277.2,7324.16,7195.53,7217.43,16350490689.0,130609895528.0
153,"Dec 10, 2019",7397.13,7424.02,7246.04,7278.12,18249031195.0,131696121855.0
154,"Dec 09, 2019",7561.8,7618.09,7365.99,7400.9,17872021272.0,133904005787.0
155,"Dec 08, 2019",7551.34,7634.61,7476.09,7564.35,15409908086.0,136847419896.0
156,"Dec 07, 2019",7547.27,7589.95,7525.71,7556.24,15453520564.0,136686769529.0
157,"Dec 06, 2019",7450.56,7547.0,7392.18,7547.0,18104466307.0,136504883935.0
158,"Dec 05, 2019",7253.24,7743.43,7232.68,7448.31,18816085231.0,134706455048.0
159,"Dec 04, 2019",7320.13,7539.78,7170.92,7252.03,21664240918.0,131143073943.0
160,"Dec 03, 2019",7323.98,7418.86,7229.36,7320.15,14797485769.0,132359942301.0
161,"Dec 02, 2019",7424.04,7474.82,7233.4,7321.99,17082040706.0,132378982377.0
162,"Dec 01, 2019",7571.62,7571.62,7291.34,7424.29,18720708479.0,134215145410.0
163,"Nov 30, 2019",7764.06,7836.1,7515.85,7569.63,17158194786.0,136829391049.0
164,"Nov 29, 2019",7466.73,7781.18,7460.76,7761.24,19709695456.0,140280108521.0
165,"Nov 28, 2019",7536.82,7730.07,7454.12,7463.11,19050116751.0,134879411013.0
166,"Nov 27, 2019",7220.88,7619.69,6974.17,7531.66,23991412764.0,136102712894.0
167,"Nov 26, 2019",7145.16,7320.23,7098.57,7218.37,21129505542.0,130429018720.0
168,"Nov 25, 2019",7039.98,7319.86,6617.17,7146.13,42685231262.0,129112952930.0
169,"Nov 24, 2019",7398.63,7408.58,7029.29,7047.92,30433517289.0,127327398565.0
170,"Nov 23, 2019",7296.16,7442.26,7151.42,7397.8,21008924418.0,133636205957.0
171,"Nov 22, 2019",7643.57,7697.38,6936.71,7296.58,34242315785.0,131791783672.0
172,"Nov 21, 2019",8023.64,8110.1,7597.38,7642.75,22514243371.0,138031885379.0
173,"Nov 20, 2019",8203.61,8237.24,8010.51,8027.27,20764300437.0,144962727398.0
174,"Nov 19, 2019",8305.13,8408.52,8099.96,8206.15,21083613816.0,148178376843.0
175,"Nov 18, 2019",8573.98,8653.28,8273.57,8309.29,21579470673.0,150025712267.0
176,"Nov 17, 2019",8549.47,8727.79,8500.97,8577.98,18668638897.0,154861842425.0
177,"Nov 16, 2019",8491.17,8592.0,8473.97,8550.76,16495389808.0,154354054194.0
178,"Nov 15, 2019",8705.71,8730.87,8484.84,8491.99,21796856471.0,153277483626.0
179,"Nov 14, 2019",8811.94,8826.94,8692.55,8708.1,19084739975.0,157160974644.0
180,"Nov 13, 2019",8812.03,8836.84,8761.65,8808.26,17545755405.0,158949942842.0
181,"Nov 12, 2019",8759.75,8853.77,8685.43,8815.66,20309769107.0,159068712900.0
182,"Nov 11, 2019",9056.92,9081.28,8700.61,8757.79,20265510765.0,158009772437.0
183,"Nov 10, 2019",8812.49,9103.83,8806.16,9055.53,20587919881.0,163364406732.0
184,"Nov 09, 2019",8809.47,8891.82,8793.16,8813.58,17578630606.0,158981489715.0
185,"Nov 08, 2019",9265.37,9272.76,8775.53,8804.88,24333037836.0,158808570729.0
186,"Nov 07, 2019",9352.39,9368.48,9202.35,9267.56,22700383839.0,167138722904.0
187,"Nov 06, 2019",9340.86,9423.24,9305.91,9360.88,23133895765.0,168806151583.0
188,"Nov 05, 2019",9413.0,9457.42,9256.93,9342.53,26198609048.0,168459778835.0
189,"Nov 04, 2019",9235.61,9505.05,9191.49,9412.61,26170255634.0,169706332936.0
190,"Nov 03, 2019",9324.79,9379.81,9141.25,9235.35,21132220847.0,166495319475.0
191,"Nov 02, 2019",9259.78,9377.49,9249.59,9324.72,21242676385.0,168090392935.0
192,"Nov 01, 2019",9193.99,9275.66,9132.05,9261.1,24324691031.0,166928044164.0
193,"Oct 31, 2019",9202.46,9383.16,9028.72,9199.58,26583653947.0,165804227835.0
194,"Oct 30, 2019",9422.46,9426.87,9085.37,9205.73,27706531577.0,165899500650.0
195,"Oct 29, 2019",9248.44,9516.18,9232.65,9427.69,28426779937.0,169883866262.0
196,"Oct 28, 2019",9565.1,9805.12,9256.15,9256.15,30948255332.0,166777392742.0
197,"Oct 27, 2019",9241.71,9749.53,9112.54,9551.71,32593129501.0,172087039875.0
198,"Oct 26, 2019",8667.58,10021.74,8662.62,9244.97,44496255609.0,166547360782.0
199,"Oct 25, 2019",7490.7,8691.54,7479.98,8660.7,28705065488.0,156006603607.0
200,"Oct 24, 2019",7509.73,7532.87,7446.99,7493.49,16268708849.0,134968410276.0
201,"Oct 23, 2019",8076.23,8093.0,7469.32,7514.67,21942878958.0,135337364282.0
202,"Oct 22, 2019",8243.4,8296.65,8074.46,8078.2,16803377857.0,145469660005.0
203,"Oct 21, 2019",8225.12,8296.69,8196.42,8243.72,15868748866.0,148432733155.0
204,"Oct 20, 2019",7997.81,8281.82,7949.44,8222.08,15504249442.0,148026597064.0
205,"Oct 19, 2019",7973.8,8082.63,7944.78,7988.56,13797825640.0,143808163807.0
206,"Oct 18, 2019",8100.93,8138.41,7902.16,7973.21,15651592610.0,143517630376.0
207,"Oct 17, 2019",8047.81,8134.83,8000.94,8103.91,14313052244.0,145853994298.0
208,"Oct 16, 2019",8204.67,8216.81,7985.09,8047.53,16071646996.0,144823993562.0
209,"Oct 15, 2019",8373.46,8410.71,8182.71,8205.37,15220412632.0,147650082215.0
210,"Oct 14, 2019",8320.83,8390.21,8284.13,8374.69,15151387859.0,150680499056.0
211,"Oct 13, 2019",8336.9,8470.99,8276.61,8321.01,13808286059.0,149700817939.0
212,"Oct 12, 2019",8315.66,8415.24,8313.34,8336.56,14532641605.0,149965767624.0
213,"Oct 11, 2019",8585.26,8721.78,8316.18,8321.76,19604381101.0,149685618275.0
214,"Oct 10, 2019",8585.28,8625.27,8471.93,8586.47,17618660671.0,154430515160.0
215,"Oct 09, 2019",8229.84,8627.71,8169.3,8595.74,19384942333.0,154579656110.0
216,"Oct 08, 2019",8246.85,8332.72,8185.76,8228.78,15592264032.0,147966069982.0
217,"Oct 07, 2019",7989.12,8308.45,7905.77,8245.62,18009742607.0,148252589805.0
218,"Oct 06, 2019",8149.88,8161.41,7958.85,7988.16,13160830305.0,143607672862.0
219,"Oct 05, 2019",8210.15,8215.53,8071.12,8151.5,12200497197.0,146529229668.0
220,"Oct 04, 2019",8259.49,8260.06,8151.24,8205.94,13139456229.0,147491804056.0
221,"Oct 03, 2019",8390.77,8414.23,8146.44,8259.99,13668823409.0,148448162840.0
222,"Oct 02, 2019",8344.21,8393.04,8227.7,8393.04,13125712443.0,150823797662.0
223,"Oct 01, 2019",8299.72,8497.69,8232.68,8343.28,15305343413.0,149913972768.0
224,"Sep 30, 2019",8104.23,8314.23,7830.76,8293.87,17115474183.0,149011567415.0
225,"Sep 29, 2019",8246.04,8261.71,7990.5,8104.19,13034629109.0,145590374681.0
226,"Sep 28, 2019",8251.27,8285.62,8125.43,8245.92,14141152736.0,148122503616.0
227,"Sep 27, 2019",8113.1,8271.52,7965.92,8251.85,16408941156.0,148212635834.0
228,"Sep 26, 2019",8487.67,8515.69,7895.63,8118.97,19258205289.0,145812492488.0
