"species" "time" "speed"
"agouti" 0.662719907 0.5
"paca" 0.823611111 0.583333333
"agouti" 0.415891204 0.125
"mouse" 0.147893519 0.116666665
"agouti" 0.544363426 0.112499997
"ocelot" 0.845185185 0.186333338
"peccary" 0.324247685 0.112
"agouti" 0.274618056 0.289999992
"agouti" 0.704328704 0.273333331
"agouti" 0.410266204 0.34000001
"agouti" 0.488900463 0.389999986
"coati" 0.659502315 0.105999994
"agouti" 0.491064815 0.284999996
"armadillo" 0.17974537 0.209999998
"agouti" 0.726493056 0.389999986
"agouti" 0.599085648 0.150000006
"paca" 0.003125 0.123333335
"agouti" 0.565497685 0.400000006
"coati" 0.406863426 0.094
"agouti" 0.394826389 0.119999997
"paca" 0.911990741 0.166666667
"coati" 0.498773148 0.5
"agouti" 0.523275463 0.275000006
"agouti" 0.542893519 0.110000002
"paca" 0.863472222 0.550000012
"paca" 0.817858796 0.183333337
"agouti" 0.324074074 0.569999993
"agouti" 0.332141204 0.289999992
"agouti" 0.721215278 0.660000026
"ocelot" 0.140115741 0.136000001
"peccary" 0.253541667 0.266666671
"armadillo" 0.222662037 0.283333341
"ocelot" 0.733981481 0.366666675
"agouti" 0.43318287 0.220000005
"agouti" 0.294710648 0.383333325
"agouti" 0.383344907 1.350000024
"armadillo" 0.835 0.537500024
"agouti" 0.253935185 0.156666666
"coati" 0.417731481 0.193333328
"agouti" 0.649849537 0.610000014
"agouti" 0.266064815 0.220000009
"paca" 0.0778125 0.060000002
"agouti" 0.259537037 0.136666665
"agouti" 0.514548611 0.449999988
"paca" 0.044131944 0.25999999
"peccary" 0.00337963 1.600000024
"paca" 0.003333333 0.072000003
"paca" 0.958344907 0.092500001
"squirrel" 0.267361111 0.183333337
"agouti" 0.459988426 0.140000001
"agouti" 0.402986111 0.144000006
"agouti" 0.752928241 0.25999999
"coati" 0.6859375 0.970000029
"agouti" 0.61275463 0.3
"agouti" 0.426782407 0.112499997
"agouti" 0.456284722 0.089999998
"agouti" 0.403703704 0.460000008
"coati" 0.329039352 0.159999996
"agouti" 0.700497685 0.103999996
"paca" 0.853553241 0.193333328
"agouti" 0.535590278 0.141999996
"agouti" 0.496655093 0.075999999
"paca" 0.215856481 0.149999996
"agouti" 0.477083333 0.479999989
"agouti" 0.302638889 0.610000014
"agouti" 0.687615741 0.202500001
"agouti" 0.636481481 0.537500024
"squirrel" 0.384710648 0.176666657
"armadillo" 0.208553241 0.093333334
"tamandua" 0.009699074 0.680000007
"agouti" 0.56775463 0.194000006
"agouti" 0.658263889 0.699999988
"paca" 0.084351852 0.430000007
"agouti" 0.679282407 0.529999971
"agouti" 0.271759259 0.819999993
"rat" 0.998414352 0.439999998
"agouti" 0.483796296 0.340000004
"agouti" 0.40005787 0.30250001
"mouse" 0.04505787 0.206666668
"agouti" 0.682638889 0.680000007
"rat" 0.92005787 0.180000007
"armadillo" 0.014756944 1.5
"agouti" 0.70869213 0.449999988
"agouti" 0.588657407 0.177499995
"agouti" 0.678229167 0.529999971
"agouti" 0.485393519 0.180000007
"paca" 0.954444444 0.25
"agouti" 0.727037037 0.930000007
"agouti" 0.751041667 0.110000004
"agouti" 0.348032407 0.340000004
"squirrel" 0.360451389 0.092500001
"agouti" 0.643460648 0.469999981
"agouti" 0.269699074 0.066666668
"peccary" 0.327743056 0.370000005
"agouti" 0.441516204 0.200000003
"peccary" 0.893298611 0.413333337
"opossum" 0.918206019 0.23666666
"agouti" 0.407361111 0.209999993
"agouti" 0.716990741 0.379999995
"paca" 0.018634259 0.410000006
"squirrel" 0.310173611 0.300000012
"agouti" 0.289467593 0.709999979
"peccary" 0.087997685 0.183333337
"rat" 0.215185185 0.237499997
"armadillo" 0.97900463 0.123333335
"agouti" 0.325833333 0.165000007
"peccary" 0.482349537 0.159999996
"coati" 0.43556713 0.519999981
"agouti" 0.340219907 0.194000006
"brocket" 0.693460648 0.610000014
"paca" 0.083611111 1.25
"agouti" 0.622256944 0.283333341
"paca" 0.813576389 0.156666666
"armadillo" 0.845405093 0.150000006
"coati" 0.28162037 0.200000003
"squirrel" 0.598020833 0.133333335
"agouti" 0.346296296 0.200000008
"agouti" 0.777453704 0.349999994
"paca" 0.851527778 0.349999994
"agouti" 0.341527778 0.400000006
"squirrel" 0.702974537 0.433333317
"opossum" 0.216539352 0.649999976
"coati" 0.59181713 0.566666683
"peccary" 0.778819444 0.850000024
"coati" 0.557743056 0.899999976
"ocelot" 0.701967593 0.599999984
"paca" 0.070034722 0.949999988
"peccary" 0.677106481 1
"peccary" 0.756435185 2.299999952
"squirrel" 0.335717593 1.75
"peccary" 0.260844907 0.175999999
"agouti" 0.283842593 0.270000005
"brocket" 0.54818287 0.099999998
"agouti" 0.438252315 0.299999992
"squirrel" 0.320439815 1.075000048
"rat" 0.829340278 0.125999999
"agouti" 0.276539352 0.266000009
"paca" 0.973530093 1.049999952
"agouti" 0.321226852 0.300000012
"squirrel" 0.3184375 0.270000011
"agouti" 0.752395833 0.275000006
"squirrel" 0.288298611 0.419999987
"agouti" 0.324409722 0.550000012
"agouti" 0.612638889 0.107142857
"agouti" 0.73849537 0.224999994
"agouti" 0.328321759 0.400000006
"peccary" 0.735405093 0.124000001
"paca" 0.097395833 0.439999998
"agouti" 0.722268519 0.409999996
"agouti" 0.779884259 0.569999993
"paca" 0.074467593 0.419999987
"rat" 0.893344907 0.413333337
"paca" 0.821076389 0.5
"agouti" 0.480162037 0.579999983
"agouti" 0.751782407 0.136000001
"mouse" 0.230729167 0.529999971
"agouti" 0.648425926 0.108333329
"agouti" 0.605844907 0.649999976
"agouti" 0.755636574 0.340000004
"armadillo" 0.078958333 0.300000012
"paca" 0.213518519 0.949999988
"agouti" 0.622650463 0.680000007
"agouti" 0.648888889 0.380000012
"brocket" 0.34619213 0.5
"agouti" 0.66150463 0.050000001
"agouti" 0.667037037 0.330000013
"peccary" 0.252430556 1
"agouti" 0.283715278 0.136000001
"ocelot" 0.167824074 0.140000001
"mouse" 0.159409722 0.115999997
"agouti" 0.444756944 0.439999998
"brocket" 0.040046296 0.449999988
"agouti" 0.634594907 0.107500002
"agouti" 0.400636574 0.074285712
"agouti" 0.590578704 0.197142856
"brocket" 0.081851852 0.629999995
"mouse" 0.009456019 0.379999995
"ocelot" 0.855844907 0.400000006
"coati" 0.437418981 0.215000004
"agouti" 0.676759259 0.079999998
"peccary" 0.209641204 0.079999998
"agouti" 0.330335648 0.101666669
"agouti" 0.409143519 0.610000014
"coati" 0.405289352 0.146000004
"agouti" 0.631064815 0.140000003
"agouti" 0.367094907 0.333333333
"agouti" 0.537314815 0.333333333
"ocelot" 0.12994213 0.555000007
"coati" 0.705659722 0.649999976
"agouti" 0.59693287 0.850000024
"brocket" 0.360335648 0.25714285
"brocket" 0.025405093 0.580000019
"squirrel" 0.522418981 0.204999998
"tamandua" 0.534467593 0.209999993
"agouti" 0.545671296 0.061428572
"ocelot" 0.898738426 0.135000005
"mouse" 0.068599537 0.134000003
"agouti" 0.276689815 0.185000002
"agouti" 0.278715278 0.133333335
"agouti" 0.302083333 0.262499988
"rat" 0.923009259 0.209999993
"mouse" 0.082372685 0.137500003
"squirrel" 0.339791667 0.400000016
"agouti" 0.698946759 0.479999989
"agouti" 0.684270833 0.087499999
"agouti" 0.491886574 0.248000002
"agouti" 0.740289352 0.284999996
"coati" 0.516469907 0.400000006
"peccary" 0.623900463 0.200000003
"mouse" 0.154861111 0.103999996
"squirrel" 0.600787037 0.101666669
"agouti" 0.444965278 0.153750002
