"distance" "angle" "species" "season" "mass" "time"
1.11 29 "rat" "L" 0.359 "night"
0.64 28 "rat" "L" 0.359 "night"
1.65 28 "squirrel" "L" 0.4 "day"
1.56 27 "rat" "L" 0.359 "night"
1.48 26 "agouti" "L" 3.47 "day"
1.12 26 "coati" "L" 4.03 "day"
3.45 25 "agouti" "L" 3.47 "day"
1.48 24 "peccary" "M" 25.2 "day"
3.16 23 "paca" "L" 8 "night"
1.15 23 "tayra" "M" 5 "day"
1.72 23 "mouse" "L" 0.1 "night"
1.7 23 "agouti" "L" 3.47 "day"
0.94 22 "agouti" "L" 3.47 "day"
1.28 21 "agouti" "M" 3.47 "day"
5.9 20 "brocket" "M" 22.8 "day"
1.44 19 "coati" "L" 4.03 "day"
1.14 18 "agouti" "M" 3.47 "day"
2.83 17 "paca" "M" 8 "night"
2.45 16 "agouti" "L" 3.47 "day"
3.8 16 "peccary" "L" 25.2 "day"
4.19 15 "agouti" "M" 3.47 "day"
2.05 14 "agouti" "L" 3.47 "day"
3.17 14 "coati" "L" 4.03 "day"
1.42 13 "agouti" "M" 3.47 "day"
1.8 12 "coati" "E" 4.03 "day"
3 12 "peccary" "E" 25.2 "day"
1.31 11 "rat" "M" 0.359 "night"
2.98 11 "agouti" "M" 3.47 "day"
0.87 10 "agouti" "L" 3.47 "day"
0.02 10 "squirrel" "L" 0.4 "day"
1.57 10 "agouti" "M" 3.47 "day"
4.15 9 "agouti" "M" 3.47 "day"
1.5 8 "agouti" "E" 3.47 "day"
1.35 8 "brocket" "L" 22.8 "day"
2.47 8 "agouti" "L" 3.47 "day"
1.41 7 "rat" "L" 0.359 "night"
1.46 7 "agouti" "M" 3.47 "day"
3.35 7 "agouti" "M" 3.47 "day"
3.8 7 "peccary" "E" 25.2 "day"
1.75 7 "agouti" "M" 3.47 "day"
2.37 7 "paca" "L" 8 "night"
1.06 6 "agouti" "M" 3.47 "day"
0.8 5 "mouse" "M" 0.1 "night"
0.84 5 "agouti" "M" 3.47 "day"
4.42 5 "ocelot" "M" 11.9 "night"
2.51 5 "peccary" "L" 25.2 "day"
0.68 4 "agouti" "L" 3.47 "day"
2.37 4 "agouti" "L" 3.47 "day"
3.2 4 "agouti" "M" 3.47 "day"
1.97 2 "agouti" "M" 3.47 "day"
1.15 2 "coati" "M" 4.03 "day"
1.34 2 "agouti" "M" 3.47 "day"
1.76 2 "armadillo" "M" 4.2 "night"
0.64 1 "agouti" "L" 3.47 "day"
1 0 "rat" "E" 0.359 "night"
1.5 0 "agouti" "L" 3.47 "day"
1.72 0 "paca" "M" 8 "night"
2 0 "agouti" "E" 3.47 "day"
1.08 0 "tayra" "M" 5 "day"
0.83 0 "coati" "M" 4.03 "day"
0.94 0 "agouti" "M" 3.47 "day"
3.08 0 "paca" "M" 8 "night"
2.42 0 "coati" "L" 4.03 "day"
0.76 0 "agouti" "M" 3.47 "day"
1.13 0 "agouti" "M" 3.47 "day"
1.45 0 "paca" "M" 8 "night"
1.12 0 "paca" "M" 8 "night"
1.45 0 "agouti" "M" 3.47 "day"
3.82 0 "agouti" "M" 3.47 "day"
0.92 0 "agouti" "L" 3.47 "day"
1.3 0 "ocelot" "L" 11.9 "night"
4.35 0 "peccary" "L" 25.2 "night"
2.3 0 "armadillo" "M" 4.2 "night"
4.2 0 "ocelot" "M" 11.9 "day"
1.65 0 "agouti" "M" 3.47 "day"
3.2 0 "agouti" "M" 3.47 "day"
2.3 0 "agouti" "M" 3.47 "day"
0.92 0 "armadillo" "L" 4.2 "night"
1.08 -1 "agouti" "L" 3.47 "night"
1.34 -1 "coati" "L" 4.03 "day"
0.98 -1 "agouti" "M" 3.47 "day"
2.1 -1 "agouti" "M" 3.47 "day"
2.9 -2 "agouti" "E" 3.47 "day"
0.6 -2 "paca" "M" 8 "night"
1.41 -2 "agouti" "L" 3.47 "day"
1.16 -2 "agouti" "M" 3.47 "day"
4.32 -2 "paca" "L" 8 "night"
4.7 -2 "peccary" "E" 25.2 "night"
0.52 -3 "paca" "L" 8 "night"
1.64 -3 "paca" "L" 8 "night"
1.6 -3 "squirrel" "M" 0.4 "day"
1.52 -3 "agouti" "L" 3.47 "day"
1.84 -4 "agouti" "L" 3.47 "day"
2.27 -4 "agouti" "L" 3.47 "day"
2.14 -4 "coati" "M" 4.03 "day"
4.6 -4 "agouti" "M" 3.47 "day"
0.35 -5 "agouti" "L" 3.47 "day"
2.1 -5 "agouti" "L" 3.47 "day"
1.9 -5 "agouti" "M" 3.47 "day"
0.89 -5 "coati" "M" 4.03 "day"
1.43 -5 "agouti" "L" 3.47 "day"
0.6 -5 "paca" "L" 8 "night"
1.92 -5 "agouti" "L" 3.47 "day"
2.3 -6 "agouti" "M" 3.47 "day"
1.66 -6 "paca" "M" 8 "night"
0.84 -6 "agouti" "M" 3.47 "day"
1.68 -6 "agouti" "L" 3.47 "day"
1.65 -6 "agouti" "L" 3.47 "day"
4.12 -6 "agouti" "L" 3.47 "day"
2.44 -7 "squirrel" "M" 0.4 "day"
0.95 -8 "armadillo" "L" 4.2 "night"
1.31 -8 "tamandua" "L" 4.21 "night"
2.01 -8 "agouti" "M" 3.47 "day"
3.4 -9 "agouti" "E" 3.47 "day"
0.85 -10 "paca" "L" 8 "night"
2.01 -10 "agouti" "L" 3.47 "day"
0.94 -10 "agouti" "M" 3.47 "day"
0.52 -11 "rat" "L" 0.359 "night"
2.3 -11 "agouti" "M" 3.47 "day"
1.98 -11 "agouti" "L" 3.47 "day"
1.26 -12 "mouse" "L" 0.1 "night"
1.11 -14 "agouti" "L" 3.47 "day"
1.56 -15 "rat" "L" 0.359 "night"
3.6 -15 "armadillo" "M" 4.2 "night"
2.63 -15 "agouti" "L" 3.47 "day"
1.52 -16 "agouti" "L" 3.47 "day"
2.36 -17 "agouti" "L" 3.47 "day"
2.12 -18 "agouti" "M" 3.47 "day"
1.84 -18 "paca" "M" 8 "night"
0.96 -18 "agouti" "L" 3.47 "day"
1.58 -19 "agouti" "L" 3.47 "day"
1.84 -21 "agouti" "L" 3.47 "day"
0.73 -21 "squirrel" "M" 0.4 "day"
3.2 -21 "agouti" "M" 3.47 "day"
1.88 -22 "agouti" "M" 3.47 "day"
2.73 -22 "peccary" "L" 25.2 "day"
1.3 -23 "agouti" "M" 3.47 "day"
0.65 -23 "peccary" "L" 25.2 "night"
2.42 -24 "tinamou" "M" 1.1 "day"
1.51 -24 "opossum" "L" 1.09 "night"
1.23 -25 "agouti" "L" 3.47 "day"
1.37 -25 "agouti" "L" 3.47 "day"
1.94 -26 "paca" "M" 8 "night"
1.67 -27 "squirrel" "M" 0.4 "day"
2.49 -27 "agouti" "L" 3.47 "day"
3.2 -28 "peccary" "M" 25.2 "night"
2.05 -28 "rat" "L" 0.359 "night"
2.25 -29 "armadillo" "L" 4.2 "night"
2.45 -29 "agouti" "L" 3.47 "day"
2.31 -31 "peccary" "L" 25.2 "day"
1.21 -31 "coati" "L" 4.03 "day"
2.34 -31 "agouti" "L" 3.47 "day"
5.25 -34 "brocket" "M" 22.8 "day"
2.3 -38 "paca" "L" 8 "night"
0.32 -40 "agouti" "L" 3.47 "day"
0.46 -42 "paca" "L" 8 "night"
1.39 42 "peccary" "L" 25.2 "day"
2.87 42 "agouti" "L" 3.47 "day"
0.3 40 "brocket" "L" 22.8 "day"
0.68 39 "agouti" "L" 3.47 "day"
2.69 37 "squirrel" "L" 0.4 "day"
0.62 34 "rat" "L" 0.359 "night"
1.35 34 "agouti" "L" 3.47 "day"
1.59 33 "paca" "L" 8 "night"
2.35 31 "agouti" "L" 3.47 "day"
3.84 31 "squirrel" "L" 0.4 "day"
1.78 31 "agouti" "L" 3.47 "day"
2.16 27 "squirrel" "L" 0.4 "day"
0.89 27 "agouti" "L" 3.47 "day"
1.44 27 "agouti" "M" 3.47 "day"
2.28 27 "agouti" "L" 3.47 "day"
3.26 25 "agouti" "L" 3.47 "day"
2.08 24 "peccary" "L" 25.2 "day"
2.65 21 "paca" "M" 8 "night"
0.88 18 "agouti" "L" 3.47 "day"
2.08 18 "agouti" "M" 3.47 "day"
1.18 18 "paca" "M" 8 "night"
0.82 18 "rat" "L" 0.359 "night"
2.6 15 "paca" "E" 8 "night"
1.98 15 "agouti" "M" 3.47 "day"
1.22 13 "agouti" "M" 3.47 "day"
1.41 11 "mouse" "L" 0.1 "night"
1.78 11 "agouti" "M" 3.47 "day"
