"distance" "angle" "species" "season" "mass" "time"
2.2 -4 "brocket" "M" 22.8 "day"
1.95 -4 "agouti" "L" 3.47 "day"
4.31 -5 "agouti" "M" 3.47 "day"
3.54 -6 "armadillo" "M" 4.2 "night"
1.62 -7 "agouti" "M" 3.47 "day"
1.98 -7 "paca" "M" 8 "night"
2.5 -7 "ocelot" "E" 11.9 "day"
2.94 -7 "agouti" "L" 3.47 "day"
1.46 -8 "coati" "L" 4.03 "day"
1.62 -8 "agouti" "L" 3.47 "day"
2.25 -8 "agouti" "M" 3.47 "day"
0.87 -8 "mouse" "M" 0.1 "night"
0.95 -9 "tamandua" "M" 4.21 "day"
1.62 -10 "rat" "M" 0.359 "night"
1.54 -10 "squirrel" "M" 0.4 "day"
2.37 -11 "squirrel" "M" 0.4 "day"
1.3 -11 "agouti" "M" 3.47 "day"
2.67 -12 "mouse" "M" 0.1 "night"
1.42 -12 "ocelot" "L" 11.9 "night"
2.5 -12 "opossum" "E" 1.09 "night"
1.85 -14 "tayra" "L" 5 "day"
3.09 -14 "agouti" "M" 3.47 "day"
1.8 -15 "agouti" "E" 3.47 "day"
1.92 -15 "agouti" "L" 3.47 "day"
1.58 -16 "agouti" "M" 3.47 "day"
2.41 -16 "agouti" "M" 3.47 "day"
1.13 -17 "agouti" "L" 3.47 "day"
1.4 -18 "agouti" "E" 3.47 "day"
1.64 -19 "agouti" "M" 3.47 "day"
1.69 -22 "agouti" "L" 3.47 "day"
3.5 -24 "brocket" "M" 22.8 "day"
0.5 -24 "peccary" "L" 25.2 "day"
4.68 -24 "armadillo" "M" 4.2 "night"
1.26 -28 "rat" "L" 0.359 "night"
4.15 -28 "agouti" "L" 3.47 "day"
2.43 -30 "agouti" "L" 3.47 "day"
1.48 -32 "peccary" "M" 25.2 "day"
2.3 -38 "agouti" "L" 3.47 "day"
3.42 34 "paca" "L" 8 "night"
3.6 34 "ocelot" "L" 11.9 "night"
2.02 33 "agouti" "M" 3.47 "day"
0.54 32 "rat" "L" 0.359 "night"
3.75 25 "agouti" "M" 3.47 "day"
2.12 24 "agouti" "L" 3.47 "day"
1.15 24 "agouti" "M" 3.47 "day"
1.68 23 "paca" "M" 8 "night"
1.78 21 "paca" "M" 8 "night"
3.24 20 "brocket" "M" 22.8 "day"
1.46 18 "agouti" "M" 3.47 "day"
3.27 18 "agouti" "L" 3.47 "day"
1.88 17 "agouti" "L" 3.47 "day"
1.51 17 "rat" "L" 0.359 "night"
1.74 16 "rat" "M" 0.359 "night"
1.57 16 "rat" "L" 0.359 "night"
1.74 15 "agouti" "M" 3.47 "day"
1.74 13 "ocelot" "L" 11.9 "night"
3.2 12 "peccary" "E" 25.2 "day"
1.8 12 "coati" "E" 4.03 "day"
1.12 12 "agouti" "M" 3.47 "day"
1.23 11 "agouti" "L" 3.47 "day"
1.84 11 "agouti" "M" 3.47 "day"
2.68 10 "brocket" "M" 22.8 "day"
1.5 10 "agouti" "M" 3.47 "day"
3.42 10 "agouti" "M" 3.47 "day"
7 10 "peccary" "E" 25.2 "night"
2.5 10 "agouti" "E" 3.47 "day"
1.4 9 "coati" "M" 4.03 "day"
2.86 9 "agouti" "M" 3.47 "day"
3.2 8 "agouti" "L" 3.47 "day"
1.8 7 "opossum" "E" 1.09 "night"
0.8 6 "opossum" "L" 1.09 "night"
5.37 6 "agouti" "M" 3.47 "day"
0.7 5 "agouti" "E" 3.47 "day"
2.69 5 "agouti" "M" 3.47 "day"
2.64 5 "armadillo" "L" 4.2 "night"
2.3 5 "armadillo" "E" 4.2 "night"
1.94 4 "agouti" "M" 3.47 "day"
3 3 "paca" "E" 8 "night"
0.92 2 "peccary" "L" 25.2 "day"
4 2 "agouti" "M" 3.47 "day"
3.26 2 "agouti" "M" 3.47 "day"
2.65 2 "ocelot" "L" 11.9 "night"
2.75 2 "agouti" "M" 3.47 "day"
2.48 1 "brocket" "L" 22.8 "day"
0.5 0 "mouse" "L" 0.1 "night"
3.01 0 "agouti" "L" 3.47 "day"
1.1 0 "agouti" "M" 3.47 "day"
1.43 0 "agouti" "M" 3.47 "day"
2.8 0 "agouti" "M" 3.47 "day"
1.89 0 "paca" "L" 8 "night"
2.23 0 "ocelot" "L" 11.9 "night"
0.47 0 "paca" "L" 8 "night"
0.61 0 "armadillo" "L" 4.2 "night"
2.1 0 "armadillo" "M" 4.2 "night"
1.5 -1 "agouti" "E" 3.47 "day"
2.63 -1 "opossum" "M" 1.09 "night"
2.7 -3 "squirrel" "E" 0.4 "day"
0.97 -4 "agouti" "M" 3.47 "day"
1.04 -4 "agouti" "M" 3.47 "day"
1.25 -4 "agouti" "L" 3.47 "day"
1.54 -5 "tamandua" "M" 4.21 "day"
1.42 -5 "tamandua" "M" 4.21 "night"
2.01 -5 "paca" "L" 8 "night"
2.7 -5 "agouti" "E" 3.47 "day"
1.12 -6 "rat" "L" 0.359 "night"
1.7 -6 "agouti" "M" 3.47 "day"
0.68 -6 "agouti" "M" 3.47 "day"
2.85 -7 "agouti" "L" 3.47 "day"
4.1 -7 "peccary" "E" 25.2 "day"
1.45 -8 "brocket" "M" 22.8 "night"
1.71 -9 "agouti" "L" 3.47 "day"
2.5 -10 "paca" "M" 8 "night"
3.4 -12 "paca" "M" 8 "night"
1.27 -15 "tamandua" "L" 4.21 "day"
0.62 -15 "agouti" "M" 3.47 "day"
1.24 -15 "squirrel" "M" 0.4 "day"
1.05 -15 "ocelot" "M" 11.9 "night"
3.65 -17 "brocket" "M" 22.8 "night"
2.8 -19 "paca" "M" 8 "night"
3.41 -21 "agouti" "L" 3.47 "day"
3.1 -22 "brocket" "M" 22.8 "day"
3.48 -22 "agouti" "M" 3.47 "day"
0.53 -23 "agouti" "M" 3.47 "day"
0.88 -27 "rat" "M" 0.359 "night"
1.21 -30 "agouti" "M" 3.47 "day"
1.43 -35 "agouti" "L" 3.47 "day"
1.5 41 "agouti" "L" 3.47 "day"
2.21 38 "ocelot" "L" 11.9 "night"
1.43 36 "brocket" "L" 22.8 "day"
3.15 36 "peccary" "L" 25.2 "day"
2.15 34 "agouti" "L" 3.47 "day"
2.58 31 "agouti" "M" 3.47 "day"
1.59 27 "ocelot" "M" 11.9 "night"
1.31 25 "agouti" "L" 3.47 "day"
2.23 24 "rat" "L" 0.359 "night"
0.96 23 "agouti" "M" 3.47 "day"
2.05 23 "ocelot" "L" 11.9 "night"
2.37 23 "ocelot" "L" 11.9 "night"
1.98 18 "agouti" "M" 3.47 "day"
1.87 17 "agouti" "L" 3.47 "day"
0.92 17 "squirrel" "L" 0.4 "day"
2.08 16 "agouti" "L" 3.47 "day"
1.28 16 "agouti" "M" 3.47 "day"
1.62 16 "agouti" "L" 3.47 "day"
3.02 15 "agouti" "M" 3.47 "day"
2.29 15 "armadillo" "M" 4.2 "night"
1.23 13 "rat" "L" 0.359 "night"
0.84 11 "rat" "L" 0.359 "night"
1.62 9 "agouti" "L" 3.47 "day"
1.01 8 "agouti" "M" 3.47 "day"
2.61 8 "brocket" "L" 22.8 "day"
3.3 7 "agouti" "M" 3.47 "day"
3.21 6 "agouti" "L" 3.47 "day"
3.8 5 "paca" "L" 8 "night"
2.1 5 "agouti" "E" 3.47 "day"
1.63 4 "tamandua" "L" 4.21 "night"
3.4 4 "agouti" "M" 3.47 "day"
3.15 4 "squirrel" "M" 0.4 "day"
1.2 3 "opossum" "E" 1.09 "night"
3.32 3 "paca" "M" 8 "night"
3.92 3 "brocket" "M" 22.8 "day"
2.1 2 "armadillo" "E" 4.2 "night"
2 2 "agouti" "E" 3.47 "day"
3.58 1 "agouti" "M" 3.47 "day"
1.46 1 "agouti" "M" 3.47 "day"
0.79 0 "mouse" "M" 0.1 "night"
0.96 0 "agouti" "M" 3.47 "day"
0.93 0 "rat" "M" 0.359 "night"
0.72 0 "agouti" "M" 3.47 "day"
0.95 0 "agouti" "L" 3.47 "day"
2.6 0 "ocelot" "L" 11.9 "night"
3.92 0 "agouti" "M" 3.47 "day"
2.61 0 "peccary" "L" 25.2 "day"
6.1 0 "agouti" "M" 3.47 "day"
0.63 -1 "agouti" "L" 3.47 "day"
1.25 -1 "brocket" "M" 22.8 "day"
3.01 -2 "agouti" "M" 3.47 "day"
1.76 -2 "rat" "L" 0.359 "night"
2.37 -2 "agouti" "M" 3.47 "day"
1.34 -3 "squirrel" "M" 0.4 "day"
1.25 -3 "paca" "M" 8 "night"
1.58 -3 "agouti" "M" 3.47 "day"
3.9 -3 "peccary" "E" 25.2 "day"
5.6 -4 "ocelot" "L" 11.9 "night"
2.26 -4 "paca" "L" 8 "night"
0.78 -5 "squirrel" "M" 0.4 "day"
4.1 -5 "agouti" "E" 3.47 "day"
4.12 -5 "agouti" "L" 3.47 "day"
4.35 -5 "coati" "M" 4.03 "day"
0.92 -6 "agouti" "L" 3.47 "day"
2.37 -7 "agouti" "M" 3.47 "day"
4.4 -8 "paca" "L" 8 "night"
0.85 -8 "agouti" "L" 3.47 "day"
1.94 -9 "agouti" "M" 3.47 "day"
1.1 -9 "agouti" "E" 3.47 "night"
2.74 -9 "squirrel" "M" 0.4 "day"
2.71 -9 "paca" "L" 8 "night"
2.1 -10 "agouti" "E" 3.47 "day"
0.68 -12 "rat" "M" 0.359 "night"
1.67 -13 "paca" "M" 8 "night"
2.31 -14 "agouti" "M" 3.47 "day"
1.97 -15 "agouti" "M" 3.47 "day"
3.61 -15 "agouti" "M" 3.47 "day"
1.56 -16 "mouse" "L" 0.1 "night"
2.48 -16 "agouti" "L" 3.47 "day"
1.25 -19 "agouti" "M" 3.47 "day"
1.84 -19 "agouti" "L" 3.47 "day"
2.24 -21 "agouti" "L" 3.47 "day"
1.02 -22 "coati" "L" 4.03 "day"
3.3 -23 "paca" "M" 8 "night"
3.52 -24 "agouti" "L" 3.47 "day"
2.67 -25 "agouti" "M" 3.47 "day"
0.2 -31 "ocelot" "L" 11.9 "day"
3.2 -34 "agouti" "L" 3.47 "day"
1.49 38 "ocelot" "L" 11.9 "night"
5.78 37 "peccary" "M" 25.2 "night"
2.1 34 "agouti" "L" 3.47 "day"
5.83 33 "agouti" "L" 3.47 "day"
1.7 32 "agouti" "M" 3.47 "day"
3.28 30 "agouti" "L" 3.47 "day"
1.89 29 "puma" "L" 51.6 "night"
1.87 27 "agouti" "M" 3.47 "day"
0.64 26 "agouti" "L" 3.47 "day"
3.85 23 "paca" "M" 8 "night"
1.61 23 "agouti" "M" 3.47 "day"
2.63 22 "agouti" "L" 3.47 "day"
3.1 22 "squirrel" "L" 0.4 "day"
1.15 21 "mouse" "L" 0.1 "night"
2.22 18 "agouti" "M" 3.47 "night"
1.81 18 "paca" "M" 8 "night"
1.5 13 "agouti" "M" 3.47 "day"
3.42 12 "peccary" "L" 25.2 "night"
1.75 6 "agouti" "L" 3.47 "day"
0.51 5 "rat" "L" 0.359 "night"
0.98 4 "opossum" "M" 1.09 "night"
1.1 4 "paca" "L" 8 "night"
2.85 4 "opossum" "L" 1.09 "night"
0.81 2 "peccary" "M" 25.2 "day"
0.97 2 "agouti" "M" 3.47 "day"
0.75 1 "mouse" "M" 0.1 "night"
0.88 1 "rat" "M" 0.359 "night"
0.7 0 "rat" "E" 0.359 "night"
0.9 0 "rat" "E" 0.359 "night"
2.53 0 "agouti" "M" 3.47 "day"
1.74 0 "agouti" "L" 3.47 "day"
0.9 0 "coati" "E" 4.03 "day"
2.03 0 "agouti" "M" 3.47 "day"
2 0 "brocket" "E" 22.8 "day"
2.34 0 "paca" "L" 8 "night"
2.3 0 "brocket" "M" 22.8 "day"
6.1 0 "brocket" "E" 22.8 "day"
1.95 -1 "agouti" "L" 3.47 "day"
2.43 -2 "squirrel" "M" 0.4 "day"
1.56 -2 "agouti" "M" 3.47 "day"
0.7 -3 "agouti" "E" 3.47 "day"
2 -4 "agouti" "E" 3.47 "day"
4.1 -5 "rat" "E" 0.359 "night"
2.95 -6 "paca" "L" 8 "night"
2.14 -7 "mouse" "L" 0.1 "night"
3.6 -8 "peccary" "M" 25.2 "day"
2.78 -10 "paca" "M" 8 "night"
4.21 -11 "paca" "M" 8 "night"
1.34 -11 "agouti" "M" 3.47 "day"
1.1 -11 "ocelot" "M" 11.9 "day"
1.4 -12 "paca" "L" 8 "night"
1.9 -12 "paca" "E" 8 "night"
2.27 -12 "tamandua" "M" 4.21 "night"
2.36 -14 "paca" "M" 8 "night"
1.58 -16 "agouti" "M" 3.47 "day"
0.71 -17 "rat" "L" 0.359 "night"
1.81 -17 "mouse" "L" 0.1 "night"
2.48 -17 "peccary" "L" 25.2 "day"
3.18 -17 "paca" "M" 8 "night"
2.26 -18 "peccary" "L" 25.2 "day"
0.87 -18 "ocelot" "L" 11.9 "night"
0.52 -18 "paca" "L" 8 "night"
2.7 -18 "brocket" "M" 22.8 "day"
1.74 -19 "agouti" "M" 3.47 "day"
5.8 -21 "agouti" "M" 3.47 "day"
2.6 -22 "paca" "M" 8 "night"
1.94 -22 "brocket" "M" 22.8 "day"
0.82 -23 "rat" "L" 0.359 "night"
6.25 -24 "brocket" "L" 22.8 "day"
1.24 -25 "agouti" "M" 3.47 "day"
0.78 -25 "agouti" "L" 3.47 "day"
2.16 -25 "agouti" "L" 3.47 "day"
1.93 -27 "agouti" "L" 3.47 "day"
1.78 -33 "paca" "L" 8 "night"
0.65 40 "ocelot" "L" 11.9 "night"
0.42 39 "rat" "L" 0.359 "night"
0.87 38 "agouti" "L" 3.47 "day"
3.6 37 "agouti" "L" 3.47 "day"
0.63 35 "rat" "L" 0.359 "night"
0.82 34 "rat" "L" 0.359 "night"
0.97 31 "agouti" "L" 3.47 "day"
4.43 29 "peccary" "L" 25.2 "night"
1.61 28 "peccary" "M" 25.2 "day"
3.32 28 "agouti" "M" 3.47 "day"
0.94 28 "paca" "L" 8 "night"
1.22 28 "agouti" "M" 3.47 "night"
1.38 27 "peccary" "L" 25.2 "day"
1.1 27 "agouti" "M" 3.47 "day"
2.24 27 "rat" "M" 0.359 "night"
1.34 26 "mouse" "M" 0.1 "night"
2.15 26 "agouti" "L" 3.47 "day"
2.1 26 "agouti" "M" 3.47 "day"
2.32 24 "agouti" "L" 3.47 "night"
1.45 24 "agouti" "M" 3.47 "day"
1.58 24 "agouti" "L" 3.47 "day"
0.92 23 "agouti" "M" 3.47 "day"
0.65 23 "agouti" "L" 3.47 "day"
1.64 23 "tamandua" "M" 4.21 "night"
2.25 23 "armadillo" "M" 4.2 "night"
1.39 23 "agouti" "M" 3.47 "day"
1.87 22 "rat" "M" 0.359 "night"
1.48 22 "agouti" "L" 3.47 "day"
2.04 21 "paca" "L" 8 "night"
1.21 20 "agouti" "M" 3.47 "day"
3.41 20 "agouti" "M" 3.47 "day"
1.2 20 "agouti" "M" 3.47 "day"
0.84 20 "paca" "L" 8 "night"
4.88 20 "brocket" "M" 22.8 "night"
3.2 18 "peccary" "E" 25.2 "day"
2.38 18 "coati" "M" 4.03 "day"
4.1 18 "agouti" "L" 3.47 "day"
1.74 17 "paca" "M" 8 "night"
2.68 17 "agouti" "M" 3.47 "day"
0.93 16 "agouti" "M" 3.47 "day"
1.6 16 "agouti" "M" 3.47 "day"
1.73 16 "agouti" "M" 3.47 "day"
2.5 16 "agouti" "M" 3.47 "day"
2.5 16 "agouti" "E" 3.47 "day"
1.2 16 "brocket" "E" 22.8 "night"
1.25 15 "agouti" "M" 3.47 "day"
0.4 15 "peccary" "L" 25.2 "day"
1.3 15 "agouti" "M" 3.47 "day"
1.63 14 "agouti" "M" 3.47 "day"
1.44 14 "agouti" "L" 3.47 "day"
4.85 14 "agouti" "M" 3.47 "day"
4.1 14 "coati" "E" 4.03 "day"
4.3 14 "peccary" "E" 25.2 "day"
2.24 13 "agouti" "M" 3.47 "day"
1.39 12 "mouse" "M" 0.1 "night"
0.6 12 "paca" "E" 8 "night"
4.38 12 "peccary" "L" 25.2 "day"
1.95 12 "coati" "L" 4.03 "day"
2.05 12 "agouti" "L" 3.47 "day"
3.05 12 "brocket" "L" 22.8 "night"
1.1 12 "agouti" "E" 3.47 "day"
0.68 12 "brocket" "L" 22.8 "day"
0.84 11 "rat" "M" 0.359 "night"
1.42 11 "agouti" "M" 3.47 "day"
2.18 11 "paca" "M" 8 "night"
4 11 "agouti" "E" 3.47 "day"
3.65 11 "agouti" "M" 3.47 "day"
2 10 "rat" "E" 0.359 "night"
1.4 10 "squirrel" "M" 0.4 "day"
2.87 10 "agouti" "M" 3.47 "day"
0.82 10 "peccary" "L" 25.2 "day"
3.3 10 "agouti" "E" 3.47 "day"
3.82 10 "agouti" "M" 3.47 "day"
1.65 9 "agouti" "M" 3.47 "day"
2.8 9 "peccary" "M" 25.2 "day"
4.4 9 "agouti" "E" 3.47 "day"
2.6 8 "agouti" "E" 3.47 "day"
0.58 8 "rat" "M" 0.359 "night"
2.4 8 "agouti" "M" 3.47 "day"
2.2 8 "agouti" "M" 3.47 "day"
1.66 8 "agouti" "M" 3.47 "day"
2.43 8 "armadillo" "M" 4.2 "night"
1.8 8 "rat" "M" 0.359 "night"
1.54 8 "agouti" "M" 3.47 "day"
2.29 8 "peccary" "M" 25.2 "day"
3.15 8 "ocelot" "L" 11.9 "night"
2.3 7 "rat" "E" 0.359 "night"
2.7 7 "agouti" "L" 3.47 "day"
0.87 7 "rat" "L" 0.359 "night"
3.13 7 "agouti" "M" 3.47 "day"
2.73 7 "agouti" "M" 3.47 "day"
3.3 7 "peccary" "E" 25.2 "night"
1.76 7 "mouse" "M" 0.1 "night"
4.43 7 "brocket" "L" 22.8 "day"
2.1 7 "agouti" "E" 3.47 "day"
0.74 7 "rat" "M" 0.359 "night"
4.1 7 "ocelot" "E" 11.9 "night"
1.08 6 "agouti" "M" 3.47 "day"
0.46 6 "rat" "L" 0.359 "night"
2.4 6 "rat" "E" 0.359 "night"
2.57 6 "agouti" "M" 3.47 "day"
1.06 6 "paca" "M" 8 "night"
2.77 5 "agouti" "M" 3.47 "day"
3.1 5 "paca" "M" 8 "night"
1.9 5 "agouti" "E" 3.47 "day"
1.15 4 "rat" "L" 0.359 "night"
1.52 4 "rat" "M" 0.359 "night"
2.88 4 "agouti" "L" 3.47 "day"
1.32 4 "rat" "M" 0.359 "night"
0.84 4 "tamandua" "M" 4.21 "day"
2.08 4 "agouti" "L" 3.47 "day"
1.82 4 "ocelot" "L" 11.9 "night"
0.89 3 "mouse" "M" 0.1 "night"
5.1 3 "peccary" "M" 25.2 "day"
0.64 3 "mouse" "M" 0.1 "night"
1.57 3 "ocelot" "L" 11.9 "night"
2.71 3 "agouti" "L" 3.47 "day"
1.21 3 "agouti" "L" 3.47 "day"
1.19 3 "agouti" "M" 3.47 "day"
2.74 3 "agouti" "M" 3.47 "day"
6.4 3 "agouti" "E" 3.47 "day"
3.2 2 "agouti" "M" 3.47 "day"
0.18 2 "mouse" "L" 0.1 "night"
1.34 2 "squirrel" "M" 0.4 "day"
2.91 2 "agouti" "L" 3.47 "day"
2.9 2 "opossum" "E" 1.09 "night"
1.75 2 "paca" "M" 8 "night"
1.38 2 "agouti" "L" 3.47 "day"
1.4 2 "agouti" "E" 3.47 "night"
1.6 2 "ocelot" "E" 11.9 "night"
5.4 1 "peccary" "E" 25.2 "night"
1.54 1 "agouti" "M" 3.47 "day"
1.6 1 "ocelot" "E" 11.9 "night"
0.2 0 "agouti" "L" 3.47 "day"
2.6 0 "agouti" "E" 3.47 "day"
2.26 0 "agouti" "L" 3.47 "day"
3.34 0 "agouti" "L" 3.47 "day"
2.28 0 "agouti" "L" 3.47 "day"
0.33 0 "rat" "L" 0.359 "night"
2.65 0 "agouti" "L" 3.47 "day"
1.4 0 "agouti" "L" 3.47 "day"
0.88 0 "ocelot" "L" 11.9 "day"
0.96 0 "agouti" "M" 3.47 "day"
2.5 0 "rat" "E" 0.359 "night"
2.41 0 "agouti" "M" 3.47 "day"
1.32 0 "mouse" "M" 0.1 "night"
2.88 0 "opossum" "L" 1.09 "night"
1.6 0 "rat" "E" 0.359 "night"
1.8 0 "opossum" "M" 1.09 "night"
1.35 0 "agouti" "L" 3.47 "day"
1.46 0 "agouti" "L" 3.47 "day"
1.99 0 "paca" "M" 8 "night"
0.7 0 "rat" "E" 0.359 "night"
1.29 0 "agouti" "M" 3.47 "day"
0.83 0 "tamandua" "L" 4.21 "day"
3.8 0 "agouti" "M" 3.47 "day"
2.62 0 "agouti" "L" 3.47 "day"
1.5 0 "agouti" "M" 3.47 "day"
1.86 0 "agouti" "L" 3.47 "day"
0.68 0 "agouti" "L" 3.47 "day"
3.6 0 "agouti" "L" 3.47 "day"
5.4 0 "coati" "E" 4.03 "day"
4.4 0 "paca" "M" 8 "night"
5.9 0 "agouti" "E" 3.47 "day"
1.1 0 "brocket" "M" 22.8 "night"
3.3 0 "brocket" "E" 22.8 "night"
0.83 0 "tamandua" "L" 4.21 "day"
4.5 0 "agouti" "E" 3.47 "day"
4.9 0 "tayra" "E" 5 "day"
0.82 -1 "mouse" "L" 0.1 "night"
1.28 -1 "mouse" "M" 0.1 "night"
2 -1 "agouti" "E" 3.47 "day"
2.38 -1 "agouti" "M" 3.47 "day"
4.34 -1 "agouti" "L" 3.47 "day"
1.26 -2 "agouti" "M" 3.47 "day"
1.52 -2 "agouti" "M" 3.47 "day"
0.76 -2 "agouti" "M" 3.47 "day"
0.73 -2 "armadillo" "M" 4.2 "night"
1.07 -2 "agouti" "L" 3.47 "day"
1.85 -3 "agouti" "M" 3.47 "day"
2.01 -3 "agouti" "L" 3.47 "day"
3.8 -3 "paca" "M" 8 "night"
5 -3 "peccary" "E" 25.2 "day"
1.12 -3 "agouti" "M" 3.47 "day"
0.64 -3 "ocelot" "L" 11.9 "night"
3.12 -3 "agouti" "M" 3.47 "day"
7 -3 "peccary" "E" 25.2 "day"
4.1 -3 "rat" "E" 0.359 "night"
0.9 -4 "rat" "E" 0.359 "night"
1.04 -4 "rat" "M" 0.359 "night"
0.68 -4 "rat" "L" 0.359 "night"
2 -4 "tamandua" "E" 4.21 "day"
1.1 -4 "coati" "E" 4.03 "day"
4.38 -4 "ocelot" "L" 11.9 "night"
4.7 -5 "brocket" "E" 22.8 "night"
6.1 -5 "agouti" "M" 3.47 "day"
1.37 -5 "mouse" "M" 0.1 "night"
2.1 -5 "opossum" "M" 1.09 "day"
2.61 -5 "agouti" "M" 3.47 "day"
1.72 -5 "agouti" "M" 3.47 "day"
5 -5 "peccary" "E" 25.2 "day"
5.3 -6 "agouti" "M" 3.47 "day"
1.68 -6 "mouse" "M" 0.1 "night"
1.3 -6 "rat" "E" 0.359 "night"
1.32 -6 "armadillo" "M" 4.2 "night"
1.84 -6 "paca" "M" 8 "night"
1.02 -7 "rat" "L" 0.359 "night"
0.41 -7 "agouti" "L" 3.47 "day"
2.73 -7 "agouti" "M" 3.47 "night"
1.4 -7 "tamandua" "E" 4.21 "day"
1.8 -7 "agouti" "E" 3.47 "day"
2.31 -7 "armadillo" "L" 4.2 "night"
1.58 -7 "ocelot" "L" 11.9 "night"
0.46 -8 "agouti" "M" 3.47 "day"
4.16 -8 "peccary" "L" 25.2 "night"
3.56 -8 "agouti" "M" 3.47 "day"
2.35 -10 "brocket" "L" 22.8 "night"
0.81 -10 "rat" "M" 0.359 "night"
1.4 -10 "agouti" "E" 3.47 "day"
1.3 -10 "ocelot" "E" 11.9 "night"
2.83 -10 "agouti" "M" 3.47 "day"
3.6 -10 "agouti" "E" 3.47 "day"
2.7 -10 "agouti" "E" 3.47 "day"
4.38 -11 "agouti" "M" 3.47 "day"
2.5 -11 "rat" "E" 0.359 "night"
1.22 -11 "rat" "M" 0.359 "night"
2.4 -11 "agouti" "E" 3.47 "day"
2.18 -11 "agouti" "M" 3.47 "day"
1 -12 "peccary" "E" 25.2 "day"
3 -12 "agouti" "E" 3.47 "day"
2.8 -12 "agouti" "L" 3.47 "day"
2.2 -12 "opossum" "M" 1.09 "day"
1.71 -12 "agouti" "M" 3.47 "day"
1.8 -12 "squirrel" "E" 0.4 "day"
2 -12 "agouti" "E" 3.47 "day"
0.98 -13 "agouti" "L" 3.47 "day"
2.31 -13 "agouti" "M" 3.47 "day"
2.36 -13 "agouti" "M" 3.47 "day"
4.37 -14 "agouti" "L" 3.47 "day"
1.67 -14 "ocelot" "L" 11.9 "day"
1.56 -15 "rat" "M" 0.359 "night"
4.12 -15 "agouti" "L" 3.47 "day"
2.05 -15 "coati" "L" 4.03 "day"
1.25 -15 "ocelot" "E" 11.9 "day"
5.62 -16 "agouti" "L" 3.47 "day"
1.42 -16 "mouse" "L" 0.1 "night"
0.89 -16 "mouse" "M" 0.1 "night"
1.21 -16 "mouse" "M" 0.1 "night"
2.41 -16 "agouti" "L" 3.47 "day"
1.2 -16 "agouti" "E" 3.47 "day"
3.85 -16 "paca" "M" 8 "night"
3.24 -16 "brocket" "L" 22.8 "night"
0.65 -16 "agouti" "L" 3.47 "day"
1.23 -17 "agouti" "M" 3.47 "day"
2.65 -17 "agouti" "L" 3.47 "day"
1.43 -18 "agouti" "L" 3.47 "day"
2.26 -18 "agouti" "M" 3.47 "day"
0.54 -19 "mouse" "M" 0.1 "night"
3.48 -19 "coati" "M" 4.03 "day"
0.82 -20 "agouti" "M" 3.47 "day"
2.05 -20 "peccary" "L" 25.2 "day"
0.88 -20 "agouti" "M" 3.47 "day"
2.44 -20 "agouti" "L" 3.47 "day"
0.93 -21 "agouti" "L" 3.47 "day"
1.01 -21 "rat" "M" 0.359 "night"
1.82 -21 "agouti" "L" 3.47 "day"
3.41 -21 "agouti" "L" 3.47 "day"
5.45 -22 "agouti" "M" 3.47 "day"
1.58 -23 "opossum" "M" 1.09 "night"
2.46 -23 "agouti" "L" 3.47 "day"
1.94 -23 "agouti" "L" 3.47 "day"
1.36 -23 "agouti" "M" 3.47 "day"
1.26 -24 "agouti" "M" 3.47 "day"
1.3 -24 "armadillo" "M" 4.2 "night"
0.94 -24 "ocelot" "L" 11.9 "day"
1.15 -24 "ocelot" "L" 11.9 "night"
0.81 -25 "opossum" "M" 1.09 "night"
1.23 -25 "rat" "L" 0.359 "night"
1.64 -26 "peccary" "L" 25.2 "day"
0.81 -26 "squirrel" "L" 0.4 "day"
0.68 -26 "ocelot" "L" 11.9 "night"
5.25 -26 "agouti" "M" 3.47 "day"
0.73 -27 "agouti" "L" 3.47 "day"
0.91 -27 "agouti" "M" 3.47 "day"
1.52 -27 "rat" "L" 0.359 "night"
1.47 -27 "paca" "L" 8 "night"
1.76 -28 "agouti" "L" 3.47 "day"
0.59 -28 "agouti" "L" 3.47 "day"
1.34 -29 "agouti" "L" 3.47 "day"
1.85 -29 "agouti" "L" 3.47 "day"
2.67 -29 "peccary" "M" 25.2 "day"
1.06 -30 "agouti" "M" 3.47 "day"
5.6 -32 "coati" "L" 4.03 "day"
1.65 -32 "ocelot" "L" 11.9 "night"
6.27 -33 "agouti" "L" 3.47 "day"
1.56 -33 "mouse" "M" 0.1 "night"
1.73 -34 "agouti" "L" 3.47 "day"
2.83 -35 "agouti" "L" 3.47 "day"
1.62 -36 "agouti" "L" 3.47 "day"
0.95 -36 "agouti" "L" 3.47 "day"
2.34 -38 "coati" "L" 4.03 "day"
0.96 -40 "agouti" "M" 3.47 "day"
0.84 -40 "ocelot" "L" 11.9 "night"
1.4 43 "peccary" "L" 25.2 "day"
0.45 42 "agouti" "L" 3.47 "day"
2.68 28 "agouti" "M" 3.47 "day"
0.96 26 "peccary" "M" 25.2 "day"
2.88 21 "brocket" "L" 22.8 "day"
2.71 18 "agouti" "M" 3.47 "day"
1.2 16 "agouti" "E" 3.47 "day"
1.44 15 "brocket" "M" 22.8 "night"
1.12 14 "paca" "M" 8 "night"
4.1 12 "agouti" "M" 3.47 "day"
0.6 10 "paca" "E" 8 "night"
3.48 10 "agouti" "M" 3.47 "day"
