万物有灵且美,万物有灵且美,8.8
四世同堂,四世同堂,9.3
霸王别姬,霸王别姬,9.1
民主的细节:美国当代政治观察随笔,民主的细节:美国当代政治观察随笔,8.6
德米安:埃米尔·辛克莱的彷徨少年时,德米安:埃米尔·辛克莱的彷徨少年时,9.0
总统是靠不住的:近距离看美国之二,总统是靠不住的:近距离看美国之二,8.8
小径分岔的花园,小径分岔的花园,8.9
最好的我们,最好的我们,8.7
天朝的崩溃:鸦片战争再研究,天朝的崩溃:鸦片战争再研究,9.1
社会心理学:（第8版）,社会心理学:（第8版）,9.0
受戒:汪曾祺自选集,受戒:汪曾祺自选集,9.3
我不知道该说什么，关于死亡还是爱情:来自切尔诺贝利的声音,我不知道该说什么，关于死亡还是爱情:来自切尔诺贝利的声音,9.0
故事:材质、结构、风格和银幕剧作的原理,故事:材质、结构、风格和银幕剧作的原理,9.2
罗生门,罗生门,8.7
荆棘鸟,荆棘鸟,8.6
倚天屠龙记(共四册),倚天屠龙记(共四册),8.6
全球通史:从史前史到21世纪,全球通史:从史前史到21世纪,9.1
棋王,棋王,8.8
上学记,上学记,8.9
顾城的诗,顾城的诗,8.8
此生未完成:一个母亲、妻子、女儿的生命日记,此生未完成:一个母亲、妻子、女儿的生命日记,8.9
一句顶一万句,一句顶一万句,8.7
牧羊少年奇幻之旅,牧羊少年奇幻之旅,8.5
罪与罚,罪与罚,9.1
正见:佛陀的证悟,正见:佛陀的证悟,8.8
失明症漫记,失明症漫记,9.1
雨季不再来,雨季不再来,8.7
草房子,草房子,9.0
雷雨,雷雨,8.6
理想国,理想国,8.7
认识电影:插图第11版,认识电影:插图第11版,8.9
人间草木,人间草木,9.0
一千零一夜,一千零一夜,8.7
从一到无穷大:科学中的事实和臆测,从一到无穷大:科学中的事实和臆测,9.1
水浒传（全二册）,水浒传（全二册）,8.6
我的天才女友:那不勒斯四部曲-01,我的天才女友:那不勒斯四部曲-01,8.5
青铜时代:时代三部曲,青铜时代:时代三部曲,8.7
圣经,圣经,9.0
黑客与画家:硅谷创业之父PaulGraham文集,黑客与画家:硅谷创业之父PaulGraham文集,8.7
巨流河,巨流河,8.7
茶馆,茶馆,9.0
孙子兵法,孙子兵法,9.4
火星救援,火星救援,8.9
一桩事先张扬的凶杀案,一桩事先张扬的凶杀案,8.7
繁花,繁花,8.7
中国哲学简史,中国哲学简史,8.9
金锁记,金锁记,8.6
设计中的设计,设计中的设计,8.6
额尔古纳河右岸,额尔古纳河右岸,9.0
海风中失落的血色馈赠,海风中失落的血色馈赠,9.1
简爱（英文全本）,简爱（英文全本）,8.5
"银河帝国：基地七部曲:基地七部曲(""银河帝国""百万册纪念版）","银河帝国：基地七部曲:基地七部曲(""银河帝国""百万册纪念版）",9.5
恶意,恶意,8.4
强风吹拂,强风吹拂,9.0
众病之王:癌症传,众病之王:癌症传,9.1
庄子,庄子,9.4
狂热分子:群众运动圣经,狂热分子:群众运动圣经,8.9
影响力,影响力,8.6
ZOO,ZOO,8.6
稻草人手记,稻草人手记,8.9
象棋的故事,象棋的故事,9.1
毛姆短篇小说精选集,毛姆短篇小说精选集,9.1
世界尽头与冷酷仙境,世界尽头与冷酷仙境,8.6
夏洛的网,夏洛的网,8.6
世界的凛冬:世纪三部曲2,世界的凛冬:世纪三部曲2,8.8
你一生的故事:特德·姜科幻小说集,你一生的故事:特德·姜科幻小说集,8.6
挪威的森林,挪威的森林,8.5
论语,论语,9.1
香水:一个谋杀犯的故事,香水:一个谋杀犯的故事,8.5
佐贺的超级阿嬷,佐贺的超级阿嬷,8.7
牡丹亭,牡丹亭,9.0
当呼吸化为空气,当呼吸化为空气,8.8
多情剑客无情剑(上、中、下),多情剑客无情剑(上、中、下),8.7
告白,告白,8.5
二手时间,二手时间,8.8
步履不停,步履不停,8.7
荒原狼,荒原狼,9.0
社会契约论,社会契约论,8.8
通往奴役之路,通往奴役之路,8.8
故事新编,故事新编,9.2
人类的群星闪耀时,人类的群星闪耀时,8.7
美丽新世界,美丽新世界,8.7
欢乐英雄,欢乐英雄,8.8
别闹了，费曼先生:科学顽童的故事,别闹了，费曼先生:科学顽童的故事,8.9
哈姆莱特,哈姆莱特,8.6
老人与海,老人与海,8.4
美国宪政历程:影响美国的25个司法大案,美国宪政历程:影响美国的25个司法大案,9.1
一个人的村庄,一个人的村庄,8.9
金阁寺,金阁寺,8.7
批评官员的尺度:《纽约时报》诉警察局长沙利文案,批评官员的尺度:《纽约时报》诉警察局长沙利文案,8.9
海底两万里,海底两万里,8.5
西方哲学史（上卷）,西方哲学史（上卷）,8.9
长袜子皮皮,长袜子皮皮,9.0
骆驼祥子,骆驼祥子,8.4
棋王·树王·孩子王,棋王·树王·孩子王,9.2
规训与惩罚:监狱的诞生,规训与惩罚:监狱的诞生,9.2
尘埃落定,尘埃落定,8.5
2001太空漫游,2001太空漫游,9.1
娱乐至死,娱乐至死,8.6
社会性动物,社会性动物,9.1
过于喧嚣的孤独,过于喧嚣的孤独,8.8
那些回不去的年少时光·终场,那些回不去的年少时光·终场,8.7
心理学与生活,心理学与生活,8.8
小姨多鹤,小姨多鹤,8.6
不存在的骑士,不存在的骑士,8.8
了不起的盖茨比,了不起的盖茨比,8.7
呼啸山庄,呼啸山庄,8.4
心是孤独的猎手,心是孤独的猎手,8.5
